playerID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,BA,OBP,SLG
taylodw01,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
tayloed01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tayloed02,92,272,37,73,8,2,0,33,4,0,38,26,0,5,12,0,0,327,0.268382353,0.354740061,0.3125
taylofr01,22,47,5,9,2,0,0,4,0,0,4,8,0,0,0,0,0,51,0.191489362,0.254901961,0.234042553
tayloga01,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
tayloge01,12,48,9,12,2,0,0,5,0,0,2,0,0,0,0,0,0,50,0.25,0.28,0.291666667
taylogr01,3,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,5,0,0,0
taylogr02,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tayloha01,438,1754,311,502,30,12,3,176,108,0,213,64,0,12,0,0,0,1979,0.286202965,0.367357251,0.322120867
tayloha02,10,8,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,9,0.125,0.222222222,0.125
tayloha03,90,124,12,20,4,1,0,13,0,0,2,26,0,1,5,0,2,132,0.161290323,0.174242424,0.209677419
tayloha04,394,724,56,158,25,0,16,82,0,3,36,146,4,4,0,2,22,766,0.218232044,0.25848564,0.319060773
tayloha05,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.25,0.25,0.25
taylohe01,4,14,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0.142857143,0.133333333,0.142857143
tayloja01,288,931,100,234,46,8,5,137,9,0,44,101,0,4,19,0,0,998,0.251342642,0.28256513,0.334049409
tayloja02,339,1063,110,236,42,13,2,88,18,0,66,128,0,5,23,0,0,1157,0.22201317,0.2653414,0.291627469
tayloje01,217,759,94,200,20,7,3,67,15,0,77,2,2,5,21,0,0,862,0.263504611,0.327146172,0.320158103
taylojo01,119,297,34,74,16,1,9,31,0,2,28,61,1,0,3,1,9,329,0.249158249,0.310030395,0.400673401
taylojo02,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taylojo03,4,10,4,6,1,1,0,3,0,0,2,0,0,0,1,0,0,13,0.6,0.615384615,0.9
taylojo04,69,164,11,21,3,1,0,9,0,0,7,1,0,0,6,0,0,177,0.12804878,0.15819209,0.158536585
taylojo05,54,117,17,25,1,0,1,7,0,0,9,4,0,2,6,0,0,134,0.213675214,0.268656716,0.247863248
tayloke01,37,14,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,15,0,0,0
taylole01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taylole02,382,1453,269,444,53,21,5,193,75,2,90,9,0,12,39,0,0,1594,0.305574673,0.342534504,0.38128011
tayloli01,67,257,32,56,8,1,0,8,0,0,7,10,0,3,0,0,0,267,0.217898833,0.247191011,0.256809339
taylomi01,37,102,9,17,2,0,1,1,0,0,12,35,0,0,0,0,2,114,0.166666667,0.254385965,0.215686275
taylomi02,1216,3480,427,807,156,15,109,388,128,35,263,1164,15,17,21,20,54,3801,0.231896552,0.285977374,0.379310345
taylope01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taylora01,150,436,39,76,11,3,1,42,7,0,33,1,0,1,6,0,0,476,0.174311927,0.231092437,0.220183486
taylore01,260,507,62,117,22,6,14,58,21,8,28,163,3,3,7,3,10,548,0.230769231,0.270072993,0.380670611
tayloro01,491,116,2,12,2,0,0,1,0,0,1,68,0,0,4,0,1,121,0.103448276,0.107438017,0.120689655
taylosa02,473,1263,127,309,47,9,33,147,3,2,122,181,27,8,2,8,34,1403,0.244655582,0.312900927,0.374505146
taylosa03,38,73,14,15,2,1,0,4,8,0,7,24,0,0,2,1,1,83,0.205479452,0.265060241,0.260273973
taylosa04,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.333333333,0.333333333,0.333333333
taylosc01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taylosc02,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taylost01,51,118,9,22,4,0,1,12,1,0,8,0,0,2,5,0,0,133,0.186440678,0.240601504,0.245762712
taylote01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tayloto01,26,73,11,19,3,1,0,10,2,0,2,8,0,1,1,0,0,77,0.260273973,0.285714286,0.328767123
tayloto02,2195,7680,1005,2007,298,86,75,598,234,111,613,1083,49,78,91,39,166,8501,0.261328125,0.317374427,0.351822917
taylotr01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tayloty01,574,1524,206,362,93,13,50,198,41,7,88,381,3,33,4,8,36,1657,0.237532808,0.291490646,0.414041995
taylowa01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taylowa02,10,21,1,8,1,0,0,5,0,0,0,0,0,0,0,0,0,21,0.380952381,0.380952381,0.428571429
taylowi01,27,33,0,2,0,0,0,0,0,0,1,10,0,0,0,0,0,34,0.060606061,0.088235294,0.060606061
tayloza01,13,48,3,12,0,0,0,3,0,0,0,1,0,0,0,0,0,48,0.25,0.25,0.25
tayloza02,918,2865,258,748,113,28,9,311,9,7,161,192,0,16,59,0,5,3101,0.261082024,0.298290874,0.329493892
tazawju01,388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
teachbu01,80,84,12,22,4,1,0,5,0,0,2,14,0,0,3,0,0,89,0.261904762,0.269662921,0.333333333
teafoev01,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
teagata01,180,510,57,103,26,0,21,70,0,1,37,194,0,4,10,2,9,563,0.201960784,0.255772647,0.376470588
teahema01,831,2873,388,759,163,26,67,332,45,17,259,679,21,15,13,11,69,3171,0.26418378,0.325764743,0.40898016
teaslro01,2,7,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,7,0.285714286,0.285714286,0.428571429
tebbebi01,1162,3704,357,1000,169,22,38,469,29,23,389,261,0,12,44,0,111,4149,0.269978402,0.337671728,0.358261339
tebeage01,628,2319,441,623,96,54,15,311,228,0,324,235,0,22,11,0,0,2676,0.26865028,0.362107623,0.376024148
tebeapa01,1167,4618,671,1290,196,57,27,735,164,0,319,255,0,42,42,0,0,5021,0.279341706,0.32881896,0.364010394
tebeapu01,2,6,3,3,0,0,0,1,1,0,2,1,0,0,0,0,0,8,0.5,0.625,0.5
tedroal01,4,6,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,6,0.166666667,0.166666667,0.333333333
teeddi01,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
teelky01,78,253,38,69,11,0,8,35,3,1,37,77,0,5,1,1,1,297,0.272727273,0.373737374,0.411067194
teherju01,263,382,10,56,6,0,1,26,0,0,9,112,0,2,67,3,3,463,0.146596859,0.144708423,0.170157068
teixema01,1862,6936,1099,1862,408,18,409,1298,26,7,918,1441,91,111,0,64,158,8029,0.268454441,0.360069747,0.509371396
tejadmi01,2171,8434,1230,2407,468,23,307,1302,85,38,553,1079,73,122,23,71,277,9203,0.285392459,0.334890796,0.455537112
tejadru01,663,2119,225,530,110,1,10,158,16,11,202,359,22,36,24,15,41,2396,0.25011798,0.320534224,0.317130722
