,playerID,W,L,ERA,G,GS,GF,CG,SHO,SV,IPouts,H,R,ER,HR,BB,IBB,SO,HBP,BK,IP,WLpercentage
1513,butlece01,2,0,10.92,11,2,5,1,0,0,106,33,17,13,6,9,1,24,0,0,35.33333333,1
1514,butlech01,0,0,9,1,0,1,0,0,0,3,1,1,1,0,2,0,0,0,0,1,NA
1515,butleed01,12,22,34.32,79,39,11,1,0,2,791,321,184,170,43,117,9,153,11,0,263.6666667,0.352941176
1516,butleik01,1,10,5.34,16,14,2,12,0,0,349,168,103,69,1,45,0,13,2,0,116.3333333,0.090909091
1517,butlejo03,0,0,9,3,0,0,0,0,0,12,7,4,4,0,6,0,3,1,0,4,NA
1518,butleke01,0,0,31.05,18,0,9,0,0,0,66,19,15,15,0,12,0,18,2,0,22,NA
1519,buttefr01,3,2,4.27,8,5,3,5,0,0,177,94,78,28,1,3,0,5,0,0,59,0.6
1520,butteto01,2,3,15.29,43,5,13,0,0,0,287,81,38,33,6,56,2,85,3,0,95.66666667,0.4
1521,buttojo01,13,10,30.08,95,15,14,0,0,4,561,145,76,74,15,95,2,180,7,2,187,0.565217391
1522,buttrty01,8,11,13.1,115,0,24,0,0,11,345,112,59,55,12,37,3,122,6,1,115,0.421052632
1523,buxtora01,0,2,8.87,19,0,10,0,0,2,108,34,20,17,4,21,0,23,0,0,36,0
1524,buzhajo01,71,96,43.31,326,200,47,44,15,7,4472,1425,675,607,130,457,67,678,43,4,1490.666667,0.425149701
1525,byerlbu01,22,22,43.75,237,17,120,4,0,14,1475,519,242,202,34,167,14,209,9,1,491.6666667,0.5
1526,bynummi01,2,5,68.02,29,8,6,0,0,0,192,78,55,55,17,33,2,52,4,0,64,0.285714286
1527,byrdati01,13,13,71.09,479,0,56,0,0,4,1019,308,182,164,46,203,19,326,10,1,339.6666667,0.5
1528,byrdbi01,101,68,59.89,210,156,41,118,10,11,4124,1394,672,539,43,290,3,741,27,0,1374.666667,0.597633136
1529,byrdha01,46,54,51.63,187,108,36,33,8,9,2483,890,442,400,71,355,9,381,41,1,827.6666667,0.46
1530,byrdje01,2,13,6.18,17,17,0,1,0,0,262,98,68,60,5,68,1,40,0,0,87.33333333,0.133333333
1531,byrdpa01,109,96,86.78,345,256,30,17,6,0,5091,1857,929,831,247,401,23,923,62,7,1697,0.531707317
1532,byrneje01,0,1,7.36,3,1,2,0,0,0,22,11,6,6,0,6,0,1,0,0,7.333333333,0
1533,byrneto01,85,69,71.58,281,170,72,65,12,12,4086,1138,688,622,98,1037,10,766,85,4,1362,0.551948052
1534,bystrma01,29,26,28.06,84,79,1,4,2,0,1305,454,236,206,28,158,9,258,15,7,435,0.527272727
1535,cabaljo01,0,0,54,1,0,1,0,0,0,3,5,6,6,2,1,0,0,0,0,1,NA
1536,cabrace01,0,0,29.45,14,0,2,0,0,0,17,7,4,4,0,4,0,9,4,1,5.666666667,NA
1537,cabreal01,0,1,7,1,1,0,1,0,0,27,16,9,7,0,5,0,1,2,0,9,0
1538,cabreal03,1,1,9.9,32,0,6,0,0,0,83,23,18,16,1,23,1,31,2,0,27.66666667,0.5
1539,cabreas01,0,0,0,2,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,1.333333333,NA
1540,cabreda01,48,65,37.46,162,155,5,6,2,1,2677,884,548,506,92,520,17,674,55,6,892.3333333,0.424778761
1541,cabreed01,0,2,11.12,2,2,0,0,0,0,17,9,9,7,3,7,1,5,0,0,5.666666667,0
1542,cabreed02,25,29,21.54,89,87,0,0,0,0,1295,349,212,195,59,216,0,478,32,4,431.6666667,0.462962963
1543,cabrefe01,8,7,62.34,132,0,52,0,0,1,526,171,108,102,32,98,9,193,2,1,175.3333333,0.533333333
1544,cabrege01,17,15,52.05,312,2,47,0,0,6,955,282,171,150,46,154,13,303,21,4,318.3333333,0.53125
1545,cabrejo01,19,17,27.22,198,11,71,0,0,4,813,291,161,149,42,94,18,192,14,2,271,0.527777778
1546,cabrelu01,2,2,4.09,5,5,0,3,0,0,99,39,20,15,1,11,0,16,2,0,33,0.5
1547,cabrema01,5,1,2.82,41,0,10,0,0,6,115,31,14,12,0,19,1,32,1,0,38.33333333,0.833333333
1548,cabreos01,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0.333333333,NA
1549,cacerke01,0,0,6.75,2,0,2,0,0,0,4,2,1,1,0,2,0,1,0,0,1.333333333,NA
1550,cadargr01,38,32,55.78,451,35,120,4,2,14,2173,716,351,321,58,403,36,539,16,7,724.3333333,0.542857143
1551,cadejo01,2,3,7.32,11,7,2,0,0,0,107,51,36,29,1,28,0,12,1,0,35.66666667,0.4
1552,cadorle01,68,72,52.95,192,147,36,83,10,3,3772,1273,525,438,44,289,0,445,26,1,1257.333333,0.485714286
1553,cadych01,3,2,10.71,5,5,0,5,0,0,129,50,38,18,0,17,0,20,0,0,43,0.6
1554,cahiljo01,2,2,22.38,10,2,8,2,0,0,150,66,58,48,3,26,0,8,5,0,50,0.5
1555,cahiltr01,86,99,68.98,361,233,47,3,2,1,4523,1447,774,713,170,615,12,1151,63,4,1507.666667,0.464864865
1556,cainbo01,37,44,25.2,140,89,28,27,3,8,1884,618,338,314,50,316,0,249,22,2,628,0.456790123
1557,cainle01,23,19,14.99,68,64,1,8,1,0,1119,331,190,165,32,225,3,303,13,2,373,0.547619048
1558,cainma01,104,118,50.63,342,331,4,15,6,0,6257,1849,910,853,211,712,42,1694,62,4,2085.666667,0.468468468
1559,cainma02,1,4,17.19,7,4,2,2,0,0,88,44,31,28,1,16,0,8,1,0,29.33333333,0.2
1560,cainsu01,53,60,47.6,178,137,14,58,2,1,2962,1119,611,530,67,569,0,279,15,0,987.3333333,0.469026549
1561,cairnca01,1,0,3.86,15,0,2,0,0,0,28,11,4,4,1,3,1,8,0,0,9.333333333,1
1562,caldeev01,12,16,20.81,34,27,4,22,2,1,708,263,121,93,8,87,0,92,9,0,236,0.428571429
1563,caldwch01,0,0,16.88,3,0,1,0,0,0,8,7,6,5,0,3,0,1,0,0,2.666666667,NA
1564,caldwea01,33,43,49.84,200,49,112,18,5,25,1763,656,347,306,44,259,0,202,25,2,587.6666667,0.434210526
1565,caldwmi01,137,130,55.63,475,307,77,98,23,18,7226,2581,1182,1020,218,597,62,939,35,9,2408.666667,0.513108614
1566,caldwra01,3,5,8.41,13,7,4,6,0,1,225,84,54,35,2,22,0,59,5,2,75,0.375
1567,caldwra02,133,120,42.12,343,260,62,184,21,9,6726,2089,992,802,59,738,0,1006,63,2,2242,0.5256917
1568,calerki01,14,12,23.8,313,1,67,0,0,7,908,236,110,109,24,126,14,324,6,1,302.6666667,0.538461538
1569,calhoje01,6,7,24.33,118,0,45,0,0,5,452,120,57,42,8,65,15,104,1,1,150.6666667,0.461538462
1570,calhole01,14,20,55.48,64,30,23,16,1,5,872,297,183,142,5,115,0,151,8,1,290.6666667,0.411764706
1571,calhoro01,0,0,19.05,6,0,4,0,0,0,46,27,19,17,1,8,0,9,1,0,15.33333333,NA
1572,calica01,0,1,23.8,40,0,12,0,0,0,103,45,26,25,6,28,5,27,2,0,34.33333333,0
1573,caligfr01,2,5,9.31,18,7,9,4,0,1,239,90,49,40,4,32,0,27,2,1,79.66666667,0.285714286
